param_num_leaves,param_n_estimators,param_min_data_in_leaf,mean_test_f1_deceased,rank_test_f1_deceased,mean_test_recall_deceased,mean_test_overall_accuracy,mean_test_overall_recall
60,100,60,0.953882450325248,17,0.9596801517923698,0.9684788755139729,0.9601923934266677
90,100,60,0.9654000188609491,15,0.9704377583519687,0.9764843515960169,0.970286818685762
120,100,60,0.9708505587349036,13,0.9744528020600393,0.9805329324404273,0.9754916299813011
60,200,60,0.9715050777231573,12,0.9752320932438843,0.9806281505329452,0.9755713575123632
90,200,60,0.9772854129626268,7,0.980331368164261,0.9856148223950312,0.9819251548087907
120,200,60,0.9799506588135051,5,0.9822795961238734,0.9879247712550453,0.9848875198394061
60,300,60,0.9768701371151024,9,0.9797045469946467,0.9853150573154181,0.9815187283135073
90,300,60,0.9807508400154324,3,0.9831266517584876,0.9887852694837608,0.9859915612248039
120,300,60,0.9825049225269756,1,0.9834315917869486,0.9901853455721641,0.9878160029642423
60,100,80,0.9535034805410468,18,0.9596632106796775,0.9682284855742428,0.9598792627263372
90,100,80,0.9638102973634046,16,0.9685064715050484,0.9756802748228132,0.9693085367597322
120,100,80,0.9702432246701435,14,0.9749779765535002,0.9798981364882215,0.9746025284144416
60,200,80,0.9715429760781773,11,0.9757742088500373,0.9805646729488257,0.9754728354765668
90,200,80,0.9768328522370732,10,0.9798570170088773,0.9852903705849902,0.9815201423313479
120,200,80,0.9797512705505197,6,0.9819746560954123,0.9876038459608726,0.9844593521384196
60,300,80,0.9770098309113143,8,0.9806024259673376,0.9850646653981676,0.9811735531779625
90,300,80,0.9802985384733374,4,0.9826014772650268,0.9884855057473692,0.9856036877366873
120,300,80,0.9818309265954168,2,0.9833468862234872,0.9897762555903268,0.9872468415453058
