,key,latitude,longitude,confirmed_sum,death_sum,recovered_sum,incidence_rate_avg,active_sum,Case-Fatality_Ratio
0,"Abruzzo, Italy",42.35122196,13.39843823,4137,474,2984,315.4210951676604,679,11.457577955039884
1,"Abu Dhabi Emirate, United Arab Emirates",23.424076,53.847818,84242,404,73512,851.755237401925,10326,0.47957076042828994
2,"Acre, Brazil",-9.0238,-70.812,27061,648,24298,3068.366716367985,2115,2.3945900003695355
3,"Ad Dhahirah Governorate, Oman",21.512583,55.92325500000001,91753,818,84648,1796.7454806719586,6287,0.8915239828670452
4,"Adrar, Algeria",28.0339,1.6596,49623,1665,34923,113.16264472888365,13035,3.35529895411402
5,"Adrar, Mauritania",21.0079,-10.9408,7365,161,6927,158.39867861305987,277,2.1860149355057703
6,"Adygea Republic, Russia",44.6939006,40.1520421,3775,31,3253,832.6422219085263,491,0.8211920529801325
7,"Aguascalientes, Mexico",21.8853,-102.2916,6581,555,5783,458.72295043687063,243,8.433368788937852
8,"Aichi, Japan",35.035551,137.211621,5077,79,4554,67.22509708710224,444,1.5560370297419737
9,"Akita, Japan",39.748679,140.408228,52,0,51,5.3802936398721135,1,0.0
10,"Al Shahaniya, Qatar",25.3548,51.1839,123146,209,120089,4274.329587026997,2848,0.16971724619557274
11,"Al-Anbar Governorate, Iraq",33.223191,43.679291,315597,8491,249539,784.6279481910907,57567,2.6904564999033576
12,"Alabama, US",32.88428035358209,-86.71012237686571,144164,2437,0,3239.9325535488906,141727,1.6904358924558143
13,"Alagoas, Brazil",-9.5713,-36.782,83950,2014,80658,2515.463583907865,1278,2.3990470518165576
14,"Alaska, US",60.41150609269231,-148.68769288076925,6728,45,0,681.8067525668181,6683,0.66884661117717
15,"Alberta, Canada",53.9333,-116.5765,16381,255,14702,371.18645066354026,1424,1.5566815212746474
16,"Alta Verapaz, Guatemala",15.7835,-90.2308,85152,3105,74497,475.29614887432814,7550,3.6464205186020298
17,"Altai Krai, Russia",52.6932243,82.69314240000001,12914,164,11648,549.5132080610022,1102,1.2699396004336378
18,"Altai Republic, Russia",50.7114101,86.8572186,2798,12,2235,1283.1154299445573,551,0.42887776983559683
19,"Amapa, Brazil",0.902,-52.003,46738,691,35026,5526.343482738601,11021,1.4784543626171425
20,"Amazonas, Brazil",-3.4168,-65.8561,131573,3956,109874,3174.566791415426,17743,3.0066959026548
21,"Amazonas, Colombia",-1.4429,-71.5724,2732,115,2597,3567.091880034992,20,4.209370424597365
22,"Amazonas, Peru",-5.077253,-78.050172,12987,204,0,3042.8772258669164,12783,1.5708015708015708
23,"Amur Oblast, Russia",52.8032368,128.437295,3959,50,3514,495.85182810135973,395,1.262945188178833
24,"Ancash, Peru",-9.407125,-77.67179499999997,21235,1248,0,1798.6616974419787,19987,5.8770897103838005
25,"Andalusia, Spain",37.5443,-4.7278,47612,1662,10671,564.9663211866524,35279,3.4907166260606566
26,"Andaman and Nicobar Islands, India",11.225999,92.968178,3631,52,3414,870.6682396723544,165,1.4321123657394659
27,"Andhra Pradesh, India",15.9129,79.74,609558,5244,519891,1130.8341944263138,84423,0.8602954927997006
28,"Anguilla, United Kingdom",18.2206,-63.0686,3,0,3,19.99733368884149,0,0.0
29,"Anhui, China",31.8257,117.2264,991,6,985,1.5670461733080334,0,0.6054490413723511
30,"Antioquia, Colombia",7.1986,-75.3412,102501,2187,85968,1599.8028437817914,14346,2.133637720607604
31,"Antofagasta, Chile",-23.6509,-70.3975,19391,489,18423,3191.755523147676,479,2.5217884585632513
32,"Aomori, Japan",40.781541,140.828896,35,1,32,2.808152628711676,2,2.857142857142857
33,"Apurimac, Peru",-14.027713,-72.975378,4200,79,0,975.156721615974,4121,1.8809523809523812
34,"Aragon, Spain",41.5976,-0.9057,32266,1302,3772,2443.3092581626643,27192,4.035207338994607
35,"Aran, Azerbaijan",40.1431,47.5769,39042,574,36601,385.06091471939277,1867,1.4702115670303777
36,"Ararat Province, Armenia",40.0691,45.0382,47154,928,42551,1591.3019356554364,3675,1.968019680196802
37,"Arauca, Colombia",7.0762,-70.7105,1449,34,1122,552.6863838519456,293,2.346445824706694
38,"Araucania, Chile",-38.9489,-72.3311,6358,103,5770,664.2123473711482,485,1.620006291286568
39,"Arequipa, Peru",-15.843524,-72.475539,39046,1297,0,2607.586483237612,37749,3.321723095835681
40,"Arica y Parinacota, Chile",-18.594,-69.4785,7561,138,7030,3344.568890776226,393,1.8251554027245074
41,"Arizona, US",33.675903642,-111.46323212666667,212938,5449,0,2927.250678937341,207489,2.5589608242774893
42,"Arkansas, US",34.911889390266666,-92.43397826839998,73511,1181,0,2564.9724143124126,72330,1.6065622831957123
43,"Arkhangelsk Oblast, Russia",63.5589686,43.1221646,12290,257,9799,1064.0434690760744,2234,2.0911310008136694
44,"Artibonite Department, Haiti",18.9712,-72.2852,8600,221,6363,75.42183828803653,2016,2.5697674418604652
45,"Aruba, Netherlands",12.5211,-69.9683,3460,23,2128,3240.7320682614313,1309,0.6647398843930636
46,"Arunachal Pradesh, India",27.768456,96.384277,7005,13,5106,446.0482228751103,1886,0.185581727337616
47,"Assam, India",26.357149,92.830441,152858,540,123687,429.2915229485945,28631,0.35326904708945556
48,"Astrakhan Oblast, Russia",47.1878186,47.608851,6550,94,6144,643.725786573944,312,1.4351145038167938
49,"Asturias, Spain",43.3614,-5.8593,4340,341,1063,424.57237051276405,2936,7.857142857142857
50,"Atacama, Chile",-27.5661,-70.0503,6552,56,6083,2267.5674179079683,413,0.8547008547008548
51,"Atlantico, Colombia",10.6966,-74.8741,66512,3016,61671,2623.212544029482,1825,4.5345200866009145
